sample_alias	file_stable_id	archive_ebi_fullpath
gonl-7c	EGAF00000513952	/fire/A/ega/vol1/EGAR00001189730/fastq/110104_I145_FC812PBABXX_L2_HUMrutRKZDIABPE_2.fq.gz.gpg
gonl-7d	EGAF00000513953	/fire/A/ega/vol1/EGAR00001189731/fastq/110106_I288_FC819G5ABXX_L5_HUMrutRLADIAAPE_1.fq.gz.gpg
gonl-7d	EGAF00000513954	/fire/A/ega/vol1/EGAR00001189731/fastq/110106_I288_FC819G5ABXX_L5_HUMrutRLADIAAPE_2.fq.gz.gpg
gonl-7d	EGAF00000513955	/fire/A/ega/vol1/EGAR00001189731/fastq/110123_I315_FC819B3ABXX_L2_HUMrutRLADIAAPE_1.fq.gz.gpg
gonl-7d	EGAF00000513956	/fire/A/ega/vol1/EGAR00001189731/fastq/110123_I315_FC819B3ABXX_L2_HUMrutRLADIAAPE_2.fq.gz.gpg
gonl-7d	EGAF00000513957	/fire/A/ega/vol1/EGAR00001189731/fastq/110101_I127_FC816W3ABXX_L4_HUMrutRLADIABPE_1.fq.gz.gpg
gonl-7d	EGAF00000513958	/fire/A/ega/vol1/EGAR00001189731/fastq/110101_I127_FC816W3ABXX_L4_HUMrutRLADIABPE_2.fq.gz.gpg
gonl-8a	EGAF00000513641	/fire/A/ega/vol1/EGAR00001189675/fastq/110101_I160_FC816P3ABXX_L6_HUMrutRIXDIAAPE_1.fq.gz.gpg
gonl-8a	EGAF00000513642	/fire/A/ega/vol1/EGAR00001189675/fastq/110101_I160_FC816P3ABXX_L6_HUMrutRIXDIAAPE_2.fq.gz.gpg
gonl-8a	EGAF00000513643	/fire/A/ega/vol1/EGAR00001189675/fastq/110128_I481_FC819P0ABXX_L3_HUMrutRIXDIAAPE_1.fq.gz.gpg
gonl-8a	EGAF00000513644	/fire/A/ega/vol1/EGAR00001189675/fastq/110128_I481_FC819P0ABXX_L3_HUMrutRIXDIAAPE_2.fq.gz.gpg
gonl-8a	EGAF00000513645	/fire/A/ega/vol1/EGAR00001189675/fastq/110105_I114_FC812R2ABXX_L5_HUMrutRIXDIABPE_1.fq.gz.gpg
gonl-8a	EGAF00000513646	/fire/A/ega/vol1/EGAR00001189675/fastq/110105_I114_FC812R2ABXX_L5_HUMrutRIXDIABPE_2.fq.gz.gpg
gonl-8b	EGAF00000513647	/fire/A/ega/vol1/EGAR00001189676/fastq/110106_I288_FC81996ABXX_L4_HUMrutRIYDIAAPE_1.fq.gz.gpg
gonl-8b	EGAF00000513648	/fire/A/ega/vol1/EGAR00001189676/fastq/110106_I288_FC81996ABXX_L4_HUMrutRIYDIAAPE_2.fq.gz.gpg
gonl-8b	EGAF00000513649	/fire/A/ega/vol1/EGAR00001189676/fastq/110105_I114_FC812R2ABXX_L6_HUMrutRIYDIABPE_1.fq.gz.gpg
